"global_step","1777156828-grad-compression=surprise - charts/episodic_return","1777156828-grad-compression=surprise - charts/episodic_return__MIN","1777156828-grad-compression=surprise - charts/episodic_return__MAX","1777156828-grad-compression=surprise - _step","1777156828-grad-compression=surprise - _step__MIN","1777156828-grad-compression=surprise - _step__MAX","1776981725-grad-compression=none - charts/episodic_return","1776981725-grad-compression=none - charts/episodic_return__MIN","1776981725-grad-compression=none - charts/episodic_return__MAX","1776981725-grad-compression=none - _step","1776981725-grad-compression=none - _step__MIN","1776981725-grad-compression=none - _step__MAX"
"150849","-1.7857143","-1.7857143","-1.7857143","678","678","678","","","","","",""
"151000","","","","","","","161.90475","161.90475","161.90475","525","525","525"
"151850","37.2549","37.2549","37.2549","694","694","694","","","","","",""
"152001","","","","","","","194.11765","194.11765","194.11765","536","536","536"
"152851","-31.147541","-31.147541","-31.147541","695","695","695","","","","","",""
"153002","","","","","","","500","500","500","537","537","537"
"153852","-35.59322","-35.59322","-35.59322","696","696","696","","","","","",""
"154003","","","","","","","289.8305","289.8305","289.8305","538","538","538"
"154853","-62.199314","-62.199314","-62.199314","697","697","697","","","","","",""
"155004","","","","","","","284.87973","284.87973","284.87973","539","539","539"
"155854","-22.807018","-22.807018","-22.807018","713","713","713","","","","","",""
"156005","","","","","","","475.4386","475.4386","475.4386","550","550","550"
"156855","-57.03125","-57.03125","-57.03125","714","714","714","","","","","",""
"157006","","","","","","","739.84375","739.84375","739.84375","551","551","551"
"157856","-7.284768","-7.284768","-7.284768","715","715","715","","","","","",""
"158007","","","","","","","257.6159","257.6159","257.6159","552","552","552"
"158857","-56.656345","-56.656345","-56.656345","716","716","716","","","","","",""
"159008","","","","","","","534.6749","534.6749","534.6749","553","553","553"
"159858","-38.11075","-38.11075","-38.11075","732","732","732","","","","","",""
"160009","","","","","","","134.5277","134.5277","134.5277","564","564","564"
"160859","-12.121212","-12.121212","-12.121212","733","733","733","","","","","",""
"161010","","","","","","","272.72726","272.72726","272.72726","565","565","565"
"161860","8.527132","8.527132","8.527132","734","734","734","","","","","",""
"162011","","","","","","","632.55817","632.55817","632.55817","566","566","566"
"162861","-56.52174","-56.52174","-56.52174","735","735","735","","","","","",""
"163012","","","","","","","519.56525","519.56525","519.56525","567","567","567"
"163862","-61.53846","-61.53846","-61.53846","751","751","751","","","","","",""
"164013","","","","","","","243.19527","243.19527","243.19527","578","578","578"
"164863","12.35955","12.35955","12.35955","752","752","752","","","","","",""
"165014","","","","","","","188.38951","188.38951","188.38951","579","579","579"
"165864","-67.741936","-67.741936","-67.741936","753","753","753","","","","","",""
"166015","","","","","","","267.74194","267.74194","267.74194","580","580","580"
"166865","-49.019608","-49.019608","-49.019608","754","754","754","","","","","",""
"167016","","","","","","","750.9804","750.9804","750.9804","581","581","581"
"167866","-42.238266","-42.238266","-42.238266","755","755","755","","","","","",""
"168017","","","","","","","816.9675","816.9675","816.9675","592","592","592"
"168867","-70.479706","-70.479706","-70.479706","771","771","771","","","","","",""
"169018","","","","","","","852.02954","852.02954","852.02954","593","593","593"
"169868","-56.953644","-56.953644","-56.953644","772","772","772","","","","","",""
"170019","","","","","","","317.21854","317.21854","317.21854","594","594","594"
"170869","-14.705882","-14.705882","-14.705882","773","773","773","","","","","",""
"171020","","","","","","","273.52942","273.52942","273.52942","595","595","595"
"171870","-44.62541","-44.62541","-44.62541","774","774","774","","","","","",""
"172021","","","","","","","668.7296","668.7296","668.7296","596","596","596"
"172871","-9.090909","-9.090909","-9.090909","790","790","790","","","","","",""
"173022","","","","","","","686.71326","686.71326","686.71326","607","607","607"
"173872","-64.91228","-64.91228","-64.91228","791","791","791","","","","","",""
"174023","","","","","","","696.4912","696.4912","696.4912","608","608","608"
"174873","-59.83936","-59.83936","-59.83936","792","792","792","","","","","",""
"175024","","","","","","","426.10443","426.10443","426.10443","609","609","609"
"175874","-20","-20","-20","793","793","793","","","","","",""
"176025","","","","","","","560","560","560","610","610","610"
"176875","-83.870964","-83.870964","-83.870964","809","809","809","","","","","",""
"177026","","","","","","","751.6129","751.6129","751.6129","621","621","621"
"177454","","","","","","","43.967163","43.967163","43.967163","622","622","622"
"177876","-73.8806","-73.8806","-73.8806","810","810","810","","","","","",""
"178455","","","","","","","711.3879","711.3879","711.3879","623","623","623"
"178877","20.99644","20.99644","20.99644","811","811","811","","","","","",""
"179456","","","","","","","689.0909","689.0909","689.0909","624","624","624"
"179878","60","60","60","812","812","812","","","","","",""
"180457","","","","","","","664.7059","664.7059","664.7059","635","635","635"
"180879","-20.415224","-20.415224","-20.415224","828","828","828","","","","","",""
"181458","","","","","","","625.2747","625.2747","625.2747","636","636","636"
"181880","-19.41392","-19.41392","-19.41392","829","829","829","","","","","",""
"182459","","","","","","","22.977346","22.977346","22.977346","637","637","637"
"182881","26.213593","26.213593","26.213593","830","830","830","","","","","",""
"183460","","","","","","","642.3313","642.3313","642.3313","638","638","638"
"183882","-23.312883","-23.312883","-23.312883","831","831","831","","","","","",""
"184461","","","","","","","353.07443","353.07443","353.07443","649","649","649"
"184883","-51.45631","-51.45631","-51.45631","847","847","847","","","","","",""
"185462","","","","","","","338.247","338.247","338.247","650","650","650"
"185884","-20.318726","-20.318726","-20.318726","848","848","848","","","","","",""
"186463","","","","","","","453.4591","453.4591","453.4591","651","651","651"
"186885","-15.094339","-15.094339","-15.094339","849","849","849","","","","","",""
"187464","","","","","","","486.2069","486.2069","486.2069","652","652","652"
"187886","-9.090909","-9.090909","-9.090909","850","850","850","","","","","",""
"188465","","","","","","","742.65735","742.65735","742.65735","663","663","663"
"188887","18.881119","18.881119","18.881119","866","866","866","","","","","",""
"189466","","","","","","","441.51624","441.51624","441.51624","664","664","664"
"189888","-74.72924","-74.72924","-74.72924","867","867","867","","","","","",""
"190467","","","","","","","291.00345","291.00345","291.00345","665","665","665"
"190889","-68.85813","-68.85813","-68.85813","868","868","868","","","","","",""
"191468","","","","","","","58.102768","58.102768","58.102768","666","666","666"
