global_step,1776624639-grad-compression=none - charts/episodic_return,1776628684-grad-compression=accumulate-grads - charts/episodic_return,1776636519-grad-compression=accumulate-grads - charts/episodic_return
301354,,566.6667,
301741,,,619.06354
302289,906.4,,
302355,,291.02563,
302742,,,573.913
303290,667.08075,,
303356,,431.77258,
303743,,,492.19858
304291,439.00708,,
304357,,238.50932,
304744,,,228.17337
305292,602.7864,,
305358,,460.2837,
305745,,,623.24725
306293,331.7343,,
306359,,379.87616,
306746,,,772.093
307294,822.4806,,
307360,,789.2989,
307747,,,791.38574
308295,491.76028,,
308361,,415.50388,
308748,,,829.76587
309296,505.35117,,
309362,,267.0412,
309749,,,281.2709
310297,411.7057,,
310363,,435.11707,
310750,,,325.92593
311298,859.2593,,
311364,,324.74918,
311751,,,281.48148
312299,844.44446,,
312365,,237.03703,
312752,,,677.3585
313300,866.0377,,
313366,,474.07407,
313753,,,346.8085
314301,334.65045,,
314367,,390.56604,
314754,,,448.8506
315302,641.37933,,
315368,,206.99088,
315755,,,639.54987
316303,430.54663,,
316369,,402.87357,
316756,,,592.5926
317304,837.03705,,
317370,,520.5788,
317757,,,480.88235
318305,370.58823,,
318371,,374.07407,
318758,,,394.73685
319306,822.807,,
319372,,385.29413,
319759,,,486.88525
320307,736.06555,,
320373,,391.22806,
320760,,,475.94937
321308,267.0886,,
321374,,385.2459,
321761,,,205.92105
322309,837.5,,
322375,,494.9367,
322762,,,631.3916
323310,534.3042,,
323376,,442.76315,
323763,,,400
324311,712.9032,,
324377,,395.14563,
324764,,,268.23105
325312,827.79785,,
325378,,287.09677,
325765,,,663.0662
326313,370.38327,,
326379,,275.45126,
326766,,,243.04207
327314,391.9094,,
327380,,237.9791,
327767,,,800
328315,314.2857,,
328381,,90.938515,
328768,,,218.31831
329316,530.6306,,
329382,,239.28572,
329769,,,417.11026
330317,744.10645,,
330383,,437.53754,
330770,,,715.2866
331223,,916.1,
331318,833.12103,,
331771,,,298.67108
332224,,485.98727,
332319,787.0432,,
332772,,,567.88324
333225,,182.39203,
333320,757.66425,,
333773,,,502.78745
334226,,363.50366,
334321,429.61673,,
334774,,,642.8571
335227,,335.54007,
335322,503.57144,,
335775,,,775.817
336228,,478.57144,
336323,514.3791,,
336776,,,591.52545
337229,,305.22876,
337324,645.7627,,
337777,,,302.17392
338230,,310.1695,
338325,827.53625,,
338778,,,313.42755
339231,,34.057972,
339326,543.10956,,
339779,,,260.26935
340232,,769.25793,
340327,381.48148,,
340780,,,180.52805
341233,,280.47137,
341328,461.0561,,
341781,,,430.4054
342234,,490.75906,
342329,839.1892,,
342782,,,641.4966
343235,,433.78378,
343330,702.72107,,
343783,,,599.32434
344236,,587.0748,
344331,315.54053,,
344784,,,460.2837
345237,,383.1081,
345332,513.47516,,
345785,,,452.28757
346238,,722.695,
346250,,,27.741299
346333,337.9085,,
347239,,553.5948,
347251,,,351.04895
347334,410.3245,,
347606,,,11.847147
348240,,212.68437,
348335,844.05597,,
348607,,,380.56537
349241,,326.57343,
349336,212.31232,,
349608,,,480.29196
350242,,341.44144,
350337,815.19434,,
350609,,,800.8264
351243,,256.89047,
351338,746.71533,,
351533,,75.57956,
351610,,,463.7584
352339,792.562,,
352534,,424.7934,
352611,,,519.2171
353340,436.91275,,
353535,,292.61746,
353612,,,239.28572
354341,316.37012,,
354536,,387.5445,
354613,,,791.3043
355342,403.57144,,
355537,,267.85715,
355614,,,275
356343,530.43475,,
356538,,461.5942,
356615,,,269.63696
357344,775,,
357539,,723.5294,
357616,,,292.61746
358345,668.97687,,
358540,,441.25412,
358617,,,480.756
359346,302.68457,,
359541,,400,
359618,,,255.61497
360347,377.66324,,
360542,,271.13403,
360619,,,295.1049
361348,383.9572,,
361543,,210.16043,
361620,,,334.30658
362349,571.3287,,
362544,,361.53845,
362621,,,245.76271
363350,710.219,,
363545,,724.8175,
363622,,,534.9693
364351,388.1356,,
364546,,374.57626,
364623,,,445.74133
365352,479.7546,,
365547,,160.73619,
365624,,,214.28572
366353,849.5268,,
366548,,262.77603,
366625,,,809.7744
367354,585.7143,,
367549,,432.14285,
367626,,,352.89856
368355,738.3459,,
368550,,272.18045,
368627,,,497.0696
369356,816.6667,,
369551,,352.89856,
369628,,,277.10437
370357,797.4359,,
370552,,489.7436,
370629,,,375.88425
371358,684.5118,,
371553,,145.79124,
371630,,,311.7647
372359,199.03537,,
372554,,289.06754,
372631,,,561.07385
373360,602.2059,,
373555,,304.41177,
373632,,,272.23975
374361,242.28188,,
374556,,238.92618,
374633,,,387.9725
375362,723.3439,,
375539,,,751.1808
375557,,202.83911,
376363,755.6701,,
376540,,,690.4762
376558,,432.64606,
377364,497.93814,,
377541,,,480.29196
377559,,322.68042,
378365,207.93651,,
378542,,,471.42856
378560,,563.49207,
379366,717.51825,,
379543,,,390.27237
379561,,257.66425,
380367,790.9774,,
380544,,,355.83038
380562,,411.2782,
381368,791.0506,,
381545,,,502.60587
381563,,359.14398,
382369,546.6431,,
382546,,,387.57764
382564,,267.49118,
383370,264.82086,,
383547,,,206.99088
383565,,23.778502,
384371,595.65216,,
384548,,,508.15048
384566,,167.08075,
385372,234.34651,,
385549,,,442.30768
385567,,131.00304,
386373,332.60187,,
386550,,,295.1049
386568,,207.21004,
387374,480.76923,,
387551,,,262.5
