"Step","1779039473-grad-compression=accumulate-grads - charts/calculated_data_transfer_total_mb","1779039473-grad-compression=accumulate-grads - charts/calculated_data_transfer_total_mb__MIN","1779039473-grad-compression=accumulate-grads - charts/calculated_data_transfer_total_mb__MAX","1778997949-grad-compression=accumulate-grads - charts/calculated_data_transfer_total_mb","1778997949-grad-compression=accumulate-grads - charts/calculated_data_transfer_total_mb__MIN","1778997949-grad-compression=accumulate-grads - charts/calculated_data_transfer_total_mb__MAX","1778988573-grad-compression=none - charts/calculated_data_transfer_total_mb","1778988573-grad-compression=none - charts/calculated_data_transfer_total_mb__MIN","1778988573-grad-compression=none - charts/calculated_data_transfer_total_mb__MAX"
"2222","28414.178","28414.178","28414.178","28414.178","28414.178","28414.178","28414.178","28414.178","28414.178"
"2233","28558.412","28558.412","28558.412","28558.412","28558.412","28558.412","28558.412","28558.412","28558.412"
"2244","28702.646","28702.646","28702.646","28702.646","28702.646","28702.646","28702.646","28702.646","28702.646"
"2255","28846.88","28846.88","28846.88","28846.88","28846.88","28846.88","28846.88","28846.88","28846.88"
"2266","28991.115","28991.115","28991.115","28991.115","28991.115","28991.115","28991.115","28991.115","28991.115"
"2277","29135.35","29135.35","29135.35","29135.35","29135.35","29135.35","29135.35","29135.35","29135.35"
"2288","29279.584","29279.584","29279.584","29279.584","29279.584","29279.584","29279.584","29279.584","29279.584"
"2299","29423.818","29423.818","29423.818","29423.818","29423.818","29423.818","29423.818","29423.818","29423.818"
"2310","29568.053","29568.053","29568.053","29568.053","29568.053","29568.053","29568.053","29568.053","29568.053"
"2321","29712.287","29712.287","29712.287","29712.287","29712.287","29712.287","29712.287","29712.287","29712.287"
"2332","29856.521","29856.521","29856.521","29856.521","29856.521","29856.521","29856.521","29856.521","29856.521"
"2343","30000.756","30000.756","30000.756","30000.756","30000.756","30000.756","30000.756","30000.756","30000.756"
"2362","30144.99","30144.99","30144.99","30144.99","30144.99","30144.99","30144.99","30144.99","30144.99"
"2373","30289.225","30289.225","30289.225","30289.225","30289.225","30289.225","30289.225","30289.225","30289.225"
"2384","30433.459","30433.459","30433.459","30433.459","30433.459","30433.459","30433.459","30433.459","30433.459"
"2395","30577.693","30577.693","30577.693","30577.693","30577.693","30577.693","30577.693","30577.693","30577.693"
"2406","30721.928","30721.928","30721.928","30721.928","30721.928","30721.928","30721.928","30721.928","30721.928"
"2417","30866.162","30866.162","30866.162","30866.162","30866.162","30866.162","30866.162","30866.162","30866.162"
"2428","31010.396","31010.396","31010.396","31010.396","31010.396","31010.396","31010.396","31010.396","31010.396"
"2439","31154.63","31154.63","31154.63","31154.63","31154.63","31154.63","31154.63","31154.63","31154.63"
"2450","31298.865","31298.865","31298.865","31298.865","31298.865","31298.865","31298.865","31298.865","31298.865"
"2461","31443.1","31443.1","31443.1","31443.1","31443.1","31443.1","31443.1","31443.1","31443.1"
"2472","31587.334","31587.334","31587.334","31587.334","31587.334","31587.334","31587.334","31587.334","31587.334"
"2483","31731.568","31731.568","31731.568","31731.568","31731.568","31731.568","31731.568","31731.568","31731.568"
"2494","31875.803","31875.803","31875.803","31875.803","31875.803","31875.803","31875.803","31875.803","31875.803"
"2505","32020.037","32020.037","32020.037","32020.037","32020.037","32020.037","32020.037","32020.037","32020.037"
"2516","32164.271","32164.271","32164.271","32164.271","32164.271","32164.271","32164.271","32164.271","32164.271"
